,Unnamed: 0,R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought.seconds.,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO.TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought.seconds.,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO.TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_odds,B_odds
0,1,Henry Cejudo,Marlon Moraes,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,True,Bantamweight,5,0,4,0,9.2,6.0,0.2,0.0,62.6,20.6,2.6,2.0,48.6,11.2,0.8,7.6,5.4,0.4,0.0,65.4,22.6,0.466,0.4,0.8,0.2,0.1,66.4,23.6,4,1,6.4,4.0,1.0,0.6,51.2,17.4,0.6,0.2,39.6,9.4,0.2,6.8,4.8,0.0,0.0,52.8,18.2,0.23600000000000002,0.0,1.0,0.4,0.1,53.8,19.2,9,419.4,0,0,1,0,2,1,0,4,Orthodox,167.64,170.18,135,0,4,0,21.9,16.4,17.0,11.0,75.0,26.5,9.4,6.5,74.2,23.9,0.4,5.3,3.7,1.2,0.0,101.4,44.0,0.466,0.1,5.3,1.9,0.45799999999999996,129.9,69.1,4,2,13.3,8.8,7.5,5.1,90.5,26.8,0.8,0.3,76.1,17.3,0.1,9.4,6.1,0.0,0.0,98.8,32.2,0.336,0.0,0.9,0.1,0.05,110.5,43.3,27,742.6,3,0,2,4,2,0,0,8,Orthodox,162.56,162.56,135.0,31.0,32.0,145,-165
1,2,Valentina Shevchenko,Jessica Eye,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,True,Women's Flyweight,5,0,3,0,14.6,9.1,11.8,7.3,124.7,42.1,2.4,1.9,112.0,32.0,0.0,12.3,10.2,0.8,0.0,138.9,51.3,0.39899999999999997,0.7,1.0,0.5,0.225,158.7,69.6,3,6,13.0,9.3,12.8,9.6,101.7,32.0,8.1,6.9,97.7,30.8,0.1,11.9,8.4,1.4,0.0,122.6,48.5,0.408,0.7,2.3,0.9,0.231,151.5,75.4,29,849.0,0,0,2,1,0,0,1,4,Orthodox,167.64,167.64,125,0,2,0,12.0,7.71428571428571,9.285714285714288,6.857142857142861,88.1428571428571,36.1428571428571,18.4285714285714,16.428571428571402,84.5714285714286,37.0,0.0,19.2857142857143,14.714285714285701,1.7142857142857097,0.14285714285714302,115.857142857143,59.428571428571395,0.5757142857142861,0.42857142857142894,5.14285714285714,2.42857142857143,0.6014285714285711,161.571428571429,102.857142857143,2,2,24.571428571428598,14.142857142857098,10.5714285714286,7.857142857142861,98.57142857142858,32.5714285714286,6.428571428571429,4.28571428571429,61.8571428571429,12.4285714285714,0.0,29.142857142857103,18.1428571428571,1.14285714285714,0.0,115.57142857142901,44.71428571428571,0.4371428571428571,0.28571428571428603,3.28571428571429,0.857142857142857,0.147142857142857,158.142857142857,82.28571428571429,25,1062.0,2,0,1,2,0,2,0,5,Southpaw,165.1,167.64,125.0,32.0,31.0,-1100,700
2,3,Tony Ferguson,Donald Cerrone,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Red,False,Lightweight,3,0,3,0,15.3548387096774,11.322580645161299,6.74193548387097,4.38709677419355,84.741935483871,38.5806451612903,5.51612903225806,3.80645161290323,67.6451612903226,23.258064516128997,0.6451612903225811,14.0,12.1935483870968,0.9354838709677421,0.0967741935483871,97.0,46.774193548387096,0.496129032258065,0.354838709677419,2.16129032258065,0.67741935483871,0.29548387096774203,103.70967741935499,52.548387096774206,8,8,17.9032258064516,11.870967741935502,8.41935483870968,5.8387096774193505,84.5483870967742,38.0645161290323,1.74193548387097,0.9354838709677421,67.6451612903226,25.4838709677419,0.22580645161290303,9.16129032258065,7.48387096774194,0.032258064516129,0.032258064516129,94.7096774193548,44.838709677419395,0.45322580645161303,0.0967741935483871,2.09677419354839,0.22580645161290303,0.0635483870967742,100.38709677419399,49.774193548387096,68,581.8709677419349,1,0,0,7,10,6,0,23,Orthodox,185.42,185.42,155,0,11,0,13.8666666666667,8.66666666666667,2.86666666666667,1.73333333333333,116.133333333333,49.4666666666667,5.33333333333333,4.26666666666667,96.7333333333333,35.6,0.2,13.733333333333302,11.2,0.33333333333333304,0.133333333333333,124.333333333333,55.4666666666667,0.43,1.0,0.933333333333333,0.4,0.27733333333333304,133.0,63.4,11,1,14.466666666666699,8.13333333333333,2.8,0.733333333333333,91.0666666666667,32.2,4.86666666666667,2.8,78.2666666666667,23.2,0.266666666666667,6.0,4.4,0.33333333333333304,0.133333333333333,98.7333333333333,35.7333333333333,0.34,0.0666666666666667,2.86666666666667,0.666666666666667,0.131333333333333,102.133333333333,38.6,33,604.4,2,0,1,3,3,6,1,14,Orthodox,180.34,193.04,155.0,36.0,35.0,-210,175
3,4,Jimmie Rivera,Petr Yan,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,False,Bantamweight,3,0,4,0,17.0,14.0,13.75,11.0,109.5,48.75,13.0,10.5,116.25,53.75,0.5,3.0,2.5,0.5,0.25,136.25,70.25,0.55,0.25,2.5,1.25,0.2875,154.75,86.75,4,0,12.25,6.0,6.0,3.75,94.25,26.75,1.75,1.25,82.5,21.5,0.25,7.25,4.25,0.0,0.0,102.0,31.75,0.3375,0.0,4.5,0.75,0.0975,104.75,34.25,9,652.0,0,0,0,2,2,0,0,4,Switch,170.18,170.18,135,1,0,0,18.25,10.25,5.875,4.125,104.875,41.0,1.0,0.625,80.5,24.0,0.375,13.0,11.5,0.125,0.0,111.75,45.75,0.36625,0.0,2.25,0.625,0.10375,117.375,50.75,5,2,20.25,13.375,6.875,5.625,103.125,38.5,0.875,0.75,77.375,20.375,0.125,13.25,11.125,0.0,0.0,110.875,44.875,0.44625,0.0,2.375,0.0,0.0,115.125,48.875,20,690.25,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,135.0,26.0,29.0,300,-360
4,5,Tai Tuivasa,Blagoy Ivanov,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,False,Heavyweight,3,0,1,0,17.0,14.5,2.5,2.0,201.0,59.5,0.0,0.0,184.5,45.0,0.0,2.0,2.0,0.0,0.0,203.5,61.5,0.31,0.0,0.0,0.0,0.0,204.0,62.0,1,1,42.5,23.5,0.5,0.5,205.0,89.5,0.0,0.0,152.5,56.5,0.0,10.5,10.0,0.0,0.0,205.5,90.0,0.43,0.0,0.5,0.0,0.0,205.5,90.0,8,1200.0,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,250,1,0,0,7.75,6.75,11.0,7.25,50.75,24.75,0.5,0.5,50.75,22.75,0.5,3.75,3.0,0.25,0.0,62.25,32.5,0.545,0.0,0.5,0.0,0.0,63.5,32.75,3,1,6.25,4.75,4.5,3.5,42.75,16.25,7.75,2.75,43.25,14.0,0.25,5.5,3.75,0.75,0.0,55.0,22.5,0.3975,0.0,1.0,0.0,0.0,60.5,27.75,7,440.75,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264.0,32.0,26.0,-160,140
6,7,Aljamain Sterling,Pedro Munhoz,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,False,Bantamweight,3,0,3,0,15.0,7.41666666666667,6.08333333333333,3.4166666666666696,84.9166666666667,34.6666666666667,5.08333333333333,3.4166666666666696,66.5833333333333,24.0,0.4166666666666671,14.5,10.0833333333333,0.583333333333333,0.0833333333333333,96.0833333333333,41.5,0.4991666666666671,0.666666666666667,2.75,0.583333333333333,0.23333333333333303,102.666666666667,47.5,4,4,13.166666666666698,7.25,2.6666666666666696,1.33333333333333,103.166666666667,41.6666666666667,1.6666666666666698,1.16666666666667,88.8333333333333,32.3333333333333,0.0,5.5,4.58333333333333,0.0833333333333333,0.0,107.5,44.1666666666667,0.4025,0.0,2.1666666666666696,0.5,0.194166666666667,110.333333333333,46.5,23,495.25,0,0,0,2,3,3,0,8,Orthodox,167.64,165.1,135,0,3,0,25.1666666666667,18.25,14.0,11.083333333333302,72.5833333333333,29.4166666666667,16.0833333333333,11.75,63.0,23.3333333333333,0.0,14.5,10.6666666666667,1.5,0.0833333333333333,102.666666666667,52.25,0.49,0.75,5.33333333333333,1.75,0.4175,138.333333333333,85.75,4,3,8.91666666666667,4.66666666666667,5.75,4.0,51.0,12.916666666666698,1.8333333333333302,1.16666666666667,43.4166666666667,8.91666666666667,0.25,6.25,4.5,0.833333333333333,0.0833333333333333,58.5833333333333,18.0833333333333,0.305833333333333,0.0833333333333333,2.25,1.08333333333333,0.251666666666667,80.5833333333333,37.8333333333333,32,750.666666666667,0,0,0,5,1,3,0,9,Orthodox,170.18,180.34,135.0,32.0,29.0,-160,140
7,8,Karolina Kowalkiewicz,Alexa Grasso,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,False,Women's Strawweight,3,1,0,0,16.25,11.0,17.5,11.25,105.75,40.0,3.0,2.5,94.25,29.75,0.0,15.75,13.0,0.25,0.25,126.25,53.75,0.5025,0.25,0.5,0.25,0.125,165.5,87.5,1,2,18.75,10.5,8.0,6.25,101.0,27.0,4.75,3.5,90.0,23.5,0.0,5.0,2.75,2.75,0.25,113.75,36.75,0.325,0.25,5.5,2.0,0.38,132.75,53.75,10,716.0,0,0,1,1,0,0,0,2,Orthodox,165.1,167.64,115,2,0,0,25.2222222222222,17.5555555555556,27.5555555555556,20.7777777777778,155.777777777778,49.77777777777779,3.77777777777778,3.0,149.0,46.77777777777779,0.0,12.8888888888889,9.222222222222221,0.7777777777777779,0.111111111111111,187.111111111111,73.55555555555559,0.38,0.0,0.7777777777777779,0.111111111111111,0.0555555555555556,211.22222222222197,95.0,3,4,26.2222222222222,14.666666666666698,20.5555555555556,14.1111111111111,133.111111111111,51.6666666666667,1.6666666666666698,1.55555555555556,110.11111111111099,38.22222222222221,0.111111111111111,19.0,14.444444444444402,0.555555555555556,0.111111111111111,155.333333333333,67.3333333333333,0.41444444444444395,0.222222222222222,4.77777777777778,0.7777777777777779,0.271111111111111,170.777777777778,81.8888888888889,25,800.111111111111,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115.0,25.0,33.0,105,-125
8,9,Ricardo Lamas,Calvin Kattar,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,False,Featherweight,3,0,1,0,7.25,4.75,1.75,0.5,125.0,50.75,8.75,5.0,122.25,46.5,0.5,6.0,5.0,0.0,0.0,135.5,56.25,0.42,0.0,1.5,0.5,0.165,139.25,59.0,2,1,20.75,13.25,4.75,2.0,162.5,72.5,0.0,0.0,123.5,42.75,0.0,23.0,18.5,0.0,0.0,167.25,74.5,0.4125,0.0,1.0,0.25,0.125,168.75,75.75,10,670.75,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,145,0,1,0,8.33333333333333,6.73333333333333,7.2,6.4,54.2666666666667,21.2,6.93333333333333,4.66666666666667,45.9333333333333,15.266666666666698,0.133333333333333,14.1333333333333,10.2666666666667,0.666666666666667,0.4,68.4,32.2666666666667,0.478,0.666666666666667,3.7333333333333303,1.06666666666667,0.301333333333333,80.0,43.5333333333333,4,5,9.0,5.8,7.4666666666666694,5.13333333333333,59.866666666666696,21.266666666666698,3.46666666666667,2.86666666666667,56.133333333333304,19.266666666666698,0.2,5.66666666666667,4.2,0.933333333333333,0.0,70.8,29.266666666666698,0.402,0.46666666666666706,2.0,1.13333333333333,0.38,88.6666666666667,45.2,34,624.0666666666671,1,0,0,3,4,3,0,10,Orthodox,172.72,180.34,145.0,31.0,37.0,155,-175
9,10,Yan Xiaonan,Angela Hill,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,False,Women's Strawweight,3,0,1,0,25.4,17.9,22.5,16.8,121.1,55.6,2.6,1.9,108.3,45.3,0.2,12.5,11.1,0.1,0.1,146.2,74.3,0.48,0.0,0.8,0.3,0.25,159.0,85.8,1,6,29.7,16.3,21.3,11.9,168.2,52.0,1.7,1.2,149.5,38.7,0.0,12.0,10.1,1.0,0.0,191.2,65.1,0.36200000000000004,0.2,4.7,1.2,0.364,208.6,80.2,26,763.1,0,0,0,4,0,0,0,4,Orthodox,160.02,162.56,115,0,3,0,9.33333333333333,5.33333333333333,10.6666666666667,7.33333333333333,244.333333333333,97.6666666666667,1.33333333333333,0.666666666666667,213.666666666667,79.0,0.0,33.3333333333333,21.3333333333333,0.0,0.0,256.33333333333303,105.666666666667,0.40333333333333293,0.0,0.33333333333333304,0.0,0.0,260.66666666666697,109.0,3,0,21.3333333333333,11.333333333333302,10.0,6.0,175.333333333333,53.0,3.6666666666666696,1.6666666666666698,160.0,42.3333333333333,0.0,7.66666666666667,7.0,0.666666666666667,0.0,189.0,60.6666666666667,0.32,0.0,2.0,0.666666666666667,0.11,222.0,89.6666666666667,9,900.0,0,0,0,3,0,0,0,3,Orthodox,165.1,160.02,115.0,34.0,29.0,-220,180
10,11,Bevon Lewis,Darren Stewart,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Blue,False,Middleweight,3,1,0,0,5.428571428571429,4.142857142857141,12.285714285714299,9.14285714285714,37.8571428571429,11.714285714285701,5.14285714285714,3.28571428571429,45.571428571428605,17.428571428571402,0.28571428571428603,4.28571428571429,2.57142857142857,0.28571428571428603,0.0,55.28571428571429,24.142857142857103,0.45428571428571396,0.0,2.42857142857143,1.0,0.24142857142857102,65.14285714285711,32.4285714285714,2,5,5.28571428571429,3.5714285714285694,12.285714285714299,8.571428571428571,31.428571428571402,11.4285714285714,2.71428571428571,1.7142857142857097,38.4285714285714,15.714285714285701,0.0,2.71428571428571,2.42857142857143,0.7142857142857142,0.0,46.428571428571395,21.714285714285698,0.43857142857142895,0.7142857142857142,6.28571428571429,2.28571428571429,0.28,56.71428571428571,31.0,14,488.71428571428595,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,1,0,0,9.0,4.0,18.0,12.0,139.0,56.0,0.0,0.0,100.0,27.0,0.0,48.0,37.0,0.0,0.0,157.0,68.0,0.43,0.0,0.0,0.0,0.0,168.0,77.0,0,1,13.0,5.0,0.0,0.0,88.0,39.0,0.0,0.0,48.0,13.0,1.0,27.0,21.0,0.0,0.0,88.0,39.0,0.44,0.0,0.0,0.0,0.0,91.0,42.0,3,692.0,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,185.0,28.0,28.0,-170,150
